dataset,n,spearman,kendall,pearson,mae,rmse,bias_mean,bias_std
appceleratorstudio,2919,0.35977971889035404,0.31178819245807465,0.3109828550914528,2.4282288454950325,3.864172093449927,-0.12949640287769784,3.8620016376794726
aptanastudio,829,0.36470037355437357,0.3012247571687721,0.3552627724726181,4.449939686369119,6.391622230752643,-2.037394451145959,6.058205888800004
bamboo,521,0.342177889525201,0.29821317788261764,0.5460471089969096,1.4241842610364683,2.0323676424714763,0.710172744721689,1.904251271975295
clover,384,0.5277189606900923,0.4427599901447223,0.627409557205385,3.0885416666666665,5.134645395091401,0.5625,5.103741478889123
datamanagement,4667,0.539525435212705,0.43369037918435344,0.5402262884094826,6.569530747803729,14.689165658529847,-3.3734733233340477,14.29654732725654
duracloud,666,0.6186027817227008,0.5422530005035405,0.6154526694717456,1.578078078078078,2.2907963130203757,1.2717717717717718,1.9053462436712747
jirasoftware_filtered,284,0.41131985270978827,0.3372504551610069,0.3618968739943924,3.1338028169014085,4.235164662478882,1.6056338028169015,3.9189998481196184
mesos,1680,0.5362949808977048,0.46148722566026557,0.469038455575113,1.811904761904762,3.2745410438134757,1.0273809523809523,3.109197231811429
moodle,1166,0.4690767179481262,0.3888995357024584,0.4581398538076215,10.531732418524872,20.961575563057355,-7.55746140651801,19.551788336997564
mule,889,0.48038021246516105,0.41140196324924744,0.5193839720340075,2.2125984251968505,3.106472071161897,0.156355455568054,3.102534721872262
mulestudio,732,0.3532767161302383,0.294809233592099,0.287381735433206,3.2459016393442623,5.389729151624305,-0.8524590163934426,5.321888194357185
springxd,3526,0.504305496516833,0.4164113823443177,0.48982531900007265,2.361883153715258,3.6823689630192065,1.076574021554169,3.521481159387599
talenddataquality,1381,0.35716626324835477,0.29632763031169573,0.4141272353911843,3.317161477190442,4.95709323622655,-0.7842143374366402,4.894668653300428
talendesb,868,0.5312719430802212,0.46709881796670893,0.49082795685199365,1.4850230414746544,2.0525919323024233,1.1716589861751152,1.6853334568174028
titanium,2251,0.38829981283062237,0.32345837718900533,0.439907318739759,3.2749888938249665,4.915184678776284,0.4389160373167481,4.8955482980625655
usergrid,482,0.3499309064869029,0.3103713336165265,0.38254869176323586,1.3195020746887967,1.9770467098543874,0.941908713692946,1.7382524753370432
