dataset,n,spearman,kendall,pearson,mae,rmse,bias_mean,bias_std
appceleratorstudio,2919,0.32742162355446863,0.28602128615855793,0.2877346444603979,2.699554642000685,3.944979593675824,-2.3096951010620077,3.1981514245965332
aptanastudio,829,0.36179592657411785,0.31289948171153464,0.36786004236469416,4.571773220747889,6.68776316235871,-3.6887816646562124,5.578446553145268
bamboo,521,0.33377298722339066,0.289963348996577,0.38690292234502877,1.5470249520153552,2.1808800984553853,0.7869481765834933,2.0339495006540074
clover,384,0.5530986790771263,0.46713386158391407,0.5343937219895063,2.6979166666666665,5.977387946809766,-1.5989583333333333,5.7595571804549826
datamanagement,4667,0.4990197038452257,0.403991675806803,0.4657539106316148,7.207413756160275,17.10889135140123,-6.427469466466681,15.855655127798737
duracloud,666,0.5588740643228467,0.4984029370582702,0.5506981548799602,1.2252252252252251,1.8058962487533057,0.6096096096096096,1.699893345222835
jirasoftware_filtered,284,0.4044814290517861,0.34344598328565257,0.3241826467142829,2.211267605633803,3.506533137999315,-0.2676056338028169,3.496306890512376
mesos,1680,0.5122643355242633,0.4392222717152701,0.44127752991618535,1.2982142857142858,2.225528294692339,-0.16845238095238096,2.2191439759122575
moodle,1166,0.471343418028434,0.3919310256805392,0.4750041829950258,11.128644939965694,22.33197217292005,-9.317324185248713,20.29542931694363
mule,889,0.4901149025641902,0.4250316867986967,0.47953384360941564,2.322834645669291,3.3057539229160935,-1.2137232845894264,3.074879637859114
mulestudio,732,0.29955390930604864,0.25270539941449355,0.19642071044316245,3.2459016393442623,5.614676318714591,-1.5737704918032787,5.389604494122337
springxd,3526,0.48170659303940255,0.4087097876908472,0.4179097087820687,1.7328417470221213,3.0724841448236724,-0.9098128190584232,2.9346889876901465
talenddataquality,1381,0.3629566711736368,0.30451787831143157,0.3390738049463667,3.3598841419261403,5.186737389745217,-1.726285300506879,4.891030955885978
talendesb,868,0.5095223017376649,0.4459426839429399,0.4730473961237664,1.2615207373271888,1.778973452241152,0.9205069124423964,1.5223053464809773
titanium,2251,0.38893137772741204,0.33380711538754626,0.418619948011999,3.1514882274544647,5.113722273105029,-2.1590404264771212,4.635590568987727
usergrid,482,0.30731187618249356,0.2708329981485923,0.3845002376831837,1.2634854771784232,1.9554159282061088,0.6742738589211619,1.8354852806431663
