dataset,n,spearman,kendall,pearson,mae,rmse,bias_mean,bias_std
appceleratorstudio,2919,0.3882580050909557,0.3389400283797585,0.339410081008593,2.5227817745803356,4.09496720663703,0.4933196300102775,4.0651435603283685
aptanastudio,829,0.36828844558602997,0.311378296839815,0.46516218717162827,4.041013268998793,5.868276636933146,-2.378769601930036,5.364524757004017
bamboo,521,0.3528674411938199,0.3036625726191441,0.47037597215466487,2.1209213051823417,2.7746452800209287,1.6986564299424185,2.1939058236300153
clover,384,0.5395384506090073,0.4505833951551091,0.6095415141353286,2.9192708333333335,5.196403002718964,0.0546875,5.196115226206056
datamanagement,4667,0.5447061220456956,0.44018677778408744,0.45827230479897696,8.041782729805014,14.824225449146775,0.4806085279622884,14.8164326209105
duracloud,666,0.5855950908034626,0.5170869399020666,0.5866459993515449,1.65015015015015,2.255790014294014,1.3288288288288288,1.8228555983022878
jirasoftware_filtered,284,0.48393532817929474,0.4064422238832994,0.44356562497219604,2.5774647887323945,3.8152769267995494,1.056338028169014,3.666127111600608
mesos,1680,0.5144859904276442,0.4395805037565744,0.4907743809634284,1.9273809523809524,3.45015527600881,1.0773809523809523,3.2776244006929987
moodle,1166,0.46900323307800057,0.37968610657090396,0.45024750364888133,11.05917667238422,21.79498659837458,-9.180960548885077,19.766927030349038
mule,889,0.4709161032152138,0.4046895693027759,0.503783609194934,2.3835770528683913,3.3118731764679445,-1.2992125984251968,3.0463996062731367
mulestudio,732,0.3425834610424563,0.2896054430494325,0.2503055459415256,3.418032786885246,5.610294986546213,-0.4672131147540984,5.590806895383469
springxd,3526,0.4920501791601917,0.40962443570544743,0.4771321991702709,2.789279636982416,3.8612859530953134,2.0348837209302326,3.2815815476480723
talenddataquality,1381,0.36582867117293294,0.2973166064362569,0.38223694725462914,3.383779869659667,5.047852118130741,-0.40188269370021723,5.031828823302843
talendesb,868,0.5126017588115759,0.45619968935393973,0.49681164385831433,1.6428571428571428,2.057357259692447,1.4285714285714286,1.4805075371232004
titanium,2251,0.39838358614601543,0.33444529205824153,0.40784403004876657,3.269657929808974,5.066505721995036,0.5171035095513106,5.040048034634011
usergrid,482,0.3827815135932471,0.3352406110111208,0.4194403332827241,1.3049792531120332,1.9522303448881422,0.8443983402489627,1.760168958505652
