dataset,count,mae,rmse,pearson,spearman,predicted_mean,actual_mean,total_rows,valid_predictions
appceleratorstudio,2909,2.299072,3.479745,0.289877,0.324189,6.572362,5.615332,2914,2909
aptanastudio,819,3.667888,5.505464,0.402943,0.395122,8.043956,7.973138,824,819
bamboo,516,2.523256,3.070868,0.316772,0.308493,4.505814,2.405039,521,516
clover,375,5.090667,6.291794,0.546531,0.480999,7.858667,4.437333,379,375
datamanagement,4658,11.497853,16.94103,0.385067,0.422014,14.928725,9.526621,4662,4658
duracloud,657,4.269406,5.003956,0.500707,0.493986,6.242009,2.063927,661,657
jirasoftware_filtered,275,4.003636,5.208734,0.249173,0.296617,7.305455,4.232727,279,275
mesos,1670,5.562874,7.353275,0.417286,0.461593,8.480838,3.049701,1675,1670
moodle,1156,11.044983,19.774945,0.425283,0.360278,13.025952,15.435986,1161,1156
mule,879,4.551763,7.110136,0.329944,0.389398,8.8157,5.062571,884,879
mulestudio,722,7.00554,10.782026,0.165819,0.292515,11.547091,6.325485,727,722
springxd,3521,2.134621,3.174826,0.319166,0.368973,4.354161,3.699801,3526,3521
talenddataquality,1376,3.8648,5.2749,0.2816,0.2946,6.9935,5.930959,1381,1376
talendesb,859,5.136205,5.862809,0.38469,0.462691,7.227008,2.128056,863,859
titanium,2241,4.707274,8.100854,0.236637,0.298717,8.827755,6.296296,2246,2241
usergrid,472,1.90678,2.720761,0.358032,0.34406,4.400424,2.832627,477,472
