dataset,count,pearson_scaleAware,pearson_countBased,delta_pearson,spearman_scaleAware,spearman_countBased,delta_spearman,mae_scaleAware,mae_countBased,rmse_scaleAware,rmse_countBased
appceleratorstudio_few_shot,2919,0.348,0.305,0.043,0.406,0.342,0.064,2.961,2.393,5.012,3.757
aptanastudio_few_shot,828,0.456,0.390,0.066,0.412,0.385,0.027,4.435,3.979,6.239,6.008
bamboo_few_shot,521,0.524,0.333,0.191,0.388,0.405,-0.018,1.820,1.380,2.487,2.291
clover_few_shot,384,0.580,0.594,-0.014,0.548,0.560,-0.012,3.453,2.674,5.881,5.716
datamanagement_few_shot,4666,0.547,0.449,0.098,0.574,0.484,0.090,7.872,6.985,14.368,16.191
duracloud_few_shot,666,0.534,0.526,0.008,0.595,0.603,-0.008,2.093,1.384,3.125,2.038
jirasoftware_filtered_few_shot,284,0.428,0.300,0.128,0.497,0.432,0.065,2.433,2.204,3.719,3.489
mesos_few_shot,1680,0.501,0.481,0.020,0.531,0.541,-0.010,2.280,1.589,3.627,2.519
moodle_few_shot,1164,0.438,0.442,-0.004,0.433,0.416,0.017,10.832,10.743,20.698,20.720
mule_few_shot,889,0.450,0.473,-0.023,0.452,0.454,-0.003,2.546,2.381,3.564,3.350
mulestudio_few_shot,732,0.161,0.189,-0.028,0.291,0.314,-0.022,5.541,3.436,9.372,5.742
springxd_few_shot,3526,0.460,0.431,0.030,0.496,0.490,0.006,3.323,1.786,4.818,2.994
talenddataquality_few_shot,1381,0.358,0.358,0.000,0.382,0.414,-0.032,4.096,3.385,6.386,5.257
talendesb_few_shot,868,0.442,0.446,-0.005,0.496,0.515,-0.019,2.310,2.776,3.257,3.821
titanium_few_shot,2251,0.421,0.409,0.011,0.418,0.395,0.023,4.218,3.014,7.637,4.763
usergrid_few_shot,482,0.326,0.362,-0.036,0.317,0.326,-0.009,1.367,1.432,2.012,2.016
