source_filename,csv_filename,total_rows,excluded_pairs,rows_after_exclusion,valid_predictions,accuracy,precision,recall,f1,macro_f1,cohen_kappa,mcc,pearson,spearman,tp,tn,fp,fn,output_folder,master_folder
appceleratorstudio_pairwise,appceleratorstudio_pairwise.csv,2919,0,2919,2919,0.5477903391572456,0.6420454545454546,0.23061224489795917,0.33933933933933935,0.4977946696696697,0.09971442871021885,0.13012361998319305,0.13012361998318966,0.13012361998319305,339,1260,189,1131,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/gemini/20260301_170849/appceleratorstudio_pairwise,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/gemini/20260301_170849
aptanastudio_pairwise,aptanastudio_pairwise.csv,829,0,829,829,0.5597104945717732,0.7,0.2033898305084746,0.3151969981238274,0.4953762768396915,0.11715105168102646,0.16605109936522375,0.16605109936522464,0.16605109936522375,84,380,36,329,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/gemini/20260301_170849/aptanastudio_pairwise,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/gemini/20260301_170849
bamboo_pairwise,bamboo_pairwise.csv,521,0,521,521,0.5124760076775432,0.573170731707317,0.3381294964028777,0.4253393665158371,0.5010030165912519,0.04862758630605768,0.05377643849884201,0.053776438498842186,0.05377643849884201,94,173,70,184,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/gemini/20260301_170849/bamboo_pairwise,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/gemini/20260301_170849
clover_pairwise,clover_pairwise.csv,384,0,384,384,0.5807291666666666,0.6875,0.3350253807106599,0.45051194539249145,0.5557822884857194,0.17223650385604117,0.20153953814955142,0.20153953814955144,0.2015395381495514,66,157,30,131,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/gemini/20260301_170849/clover_pairwise,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/gemini/20260301_170849
datamanagement_pairwise,datamanagement_pairwise.csv,4667,0,4667,4667,0.5493893293336191,0.6045681655960029,0.3535058430717863,0.44614169080853305,0.5331665651080773,0.10832245314280253,0.11947542992270843,0.1194754299227027,0.11947542992270843,847,1717,554,1549,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/gemini/20260301_170849/datamanagement_pairwise,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/gemini/20260301_170849
duracloud_pairwise,duracloud_pairwise.csv,666,0,666,666,0.6556603773584906,0.8413793103448276,0.3836477987421384,0.5269978401727862,0.6281466333125982,0.3113207547169812,0.37103121406307016,0.37103121406306927,0.37103121406307016,122,295,23,196,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/gemini/20260301_170849/duracloud_pairwise,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/gemini/20260301_170849
jirasoftware_filtered_pairwise,jirasoftware_filtered_pairwise.csv,284,0,284,284,0.5528169014084507,0.5841584158415841,0.4097222222222222,0.4816326530612245,0.5442218992860302,0.10925614936283701,0.11459182259732256,0.11459182259732276,0.11459182259732258,59,98,42,85,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/gemini/20260301_170849/jirasoftware_filtered_pairwise,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/gemini/20260301_170849
mesos_pairwise,mesos_pairwise.csv,1680,0,1680,1680,0.5684523809523809,0.6325581395348837,0.32419547079856975,0.42868400315208827,0.5409799738381197,0.13640295523192336,0.15619305238025907,0.15619305238025857,0.15619305238025907,272,683,158,567,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/gemini/20260301_170849/mesos_pairwise,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/gemini/20260301_170849
moodle_pairwise,moodle_pairwise.csv,1166,0,1166,1166,0.5831903945111492,0.5866935483870968,0.5087412587412588,0.5449438202247191,0.5802250746693216,0.16402700246657143,0.16544682842584238,0.16544682842584374,0.16544682842584238,291,389,205,281,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/gemini/20260301_170849/moodle_pairwise,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/gemini/20260301_170849
mule_pairwise,mule_pairwise.csv,889,0,889,889,0.5163104611923509,0.5583333333333333,0.15090090090090091,0.2375886524822695,0.44169383200719736,0.03182587200761833,0.04653093466147325,0.04653093466147312,0.04653093466147324,67,392,53,377,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/gemini/20260301_170849/mule_pairwise,/Users/macab/Documents/StoryPoint/research questions/RQ3_ZeroShot_Comparative/gemini/20260301_170849
