dataset,total_rows,valid_predictions,accuracy,precision,recall,f1,mae,rmse,pearson,spearman,predicted_mean,actual_mean,derived_pairwise_accuracy
appceleratorstudio,2919,2919,0.547790,0.642045,0.230612,0.339339,0.904419,1.344931,0.130124,0.130124,-0.638232,0.007194,0.605873
aptanastudio,829,829,0.559710,0.700000,0.203390,0.315197,0.880579,1.327086,0.166051,0.166051,-0.710495,-0.003619,0.558020
bamboo,521,521,0.512476,0.573171,0.338129,0.425339,0.975048,1.396458,0.053776,0.053776,-0.370441,0.067179,0.587209
clover,384,384,0.580729,0.687500,0.335025,0.450512,0.838542,1.295023,0.201540,0.201540,-0.500000,0.026042,0.644928
datamanagement,4667,4667,0.549389,0.604568,0.353506,0.446142,0.901221,1.342551,0.119475,0.119475,-0.399614,0.026784,0.628386
duracloud,666,636,0.655660,0.841379,0.383648,0.526998,0.688679,1.173609,0.371031,0.371031,-0.544025,0.000000,0.683897
jirasoftware_filtered,284,284,0.552817,0.584158,0.409722,0.481633,0.894366,1.337435,0.114592,0.114592,-0.288732,0.014085,0.644670
mesos,1680,1680,0.568452,0.632558,0.324195,0.428684,0.863095,1.313846,0.156193,0.156193,-0.488095,-0.001190,0.605519
moodle,1166,1166,0.583190,0.586694,0.508741,0.544944,0.833619,1.291216,0.165447,0.165447,-0.149228,-0.018868,0.655644
mule,889,889,0.516310,0.558333,0.150901,0.237589,0.967379,1.390956,0.046531,0.046531,-0.730034,-0.001125,0.549763
mulestudio,732,732,0.561475,0.592965,0.329609,0.423698,0.877049,1.324424,0.126995,0.126995,-0.456284,-0.021858,0.626984
springxd,3526,3526,0.555871,0.643466,0.256222,0.366505,0.888259,1.332861,0.141897,0.141897,-0.600681,0.002836,0.581114
talenddataquality,1381,1055,0.522275,0.706667,0.187279,0.296089,0.955450,1.382353,0.138932,0.138932,-0.715640,0.072986,0.582069
talendesb,868,868,0.535714,0.808081,0.172414,0.284192,0.928571,1.362770,0.196748,0.196748,-0.771889,0.069124,0.570776
titanium,2251,2251,0.500222,0.494118,0.112299,0.183007,0.999556,1.413899,-0.003094,-0.003094,-0.773434,-0.003110,0.506602
usergrid,482,466,0.596567,0.645161,0.429185,0.515464,0.806867,1.270328,0.204959,0.204959,-0.334764,0.000000,0.593272
