dataset,total_rows,valid_predictions,accuracy,precision,recall,f1,mae,rmse,pearson,spearman,predicted_mean,actual_mean,derived_pairwise_accuracy
appceleratorstudio,2909,2909,0.291165,0.131292,0.123012,0.107856,2.369199,3.578132,0.343508,0.354635,3.973874,5.641114,
aptanastudio,819,819,0.108669,0.100837,0.085917,0.049147,4.959707,7.070722,0.321257,0.294537,3.783883,8.015873,
bamboo,511,511,0.181996,0.146750,0.133130,0.086444,2.125245,2.848421,0.246517,0.314813,3.984344,2.391389,
clover,374,374,0.163102,0.132664,0.133243,0.100523,3.951872,6.447235,0.298662,0.383704,5.264706,4.644385,
datamanagement,4657,4657,0.094481,0.040140,0.016752,0.009808,7.356882,16.830962,0.291829,0.369277,4.549066,9.575263,
duracloud,656,656,0.106707,0.126032,0.135133,0.068161,2.407012,2.962417,0.582870,0.588438,4.315549,2.088415,
jirasoftware_filtered,274,274,0.222628,0.150319,0.144768,0.141614,2.474453,3.742633,0.161804,0.247500,4.058394,4.204380,
mesos,1670,1670,0.248503,0.186581,0.163735,0.139457,2.037725,2.883673,0.422343,0.483318,4.441916,3.079641,
moodle,1156,1155,0.097835,0.031481,0.055684,0.035650,12.237229,23.531539,0.429446,0.404406,3.813853,15.368831,
mule,879,879,0.298066,0.244959,0.183164,0.176050,2.331058,3.333731,0.402636,0.402428,4.509670,5.065984,
mulestudio,722,722,0.259003,0.133722,0.134958,0.127529,3.459834,5.835938,0.165637,0.266718,4.526316,6.398892,
springxd,3516,1676,0.216587,0.077414,0.131218,0.069423,2.879475,5.031286,0.231779,0.418121,5.038186,3.847255,
talenddataquality,1371,1371,0.197666,0.098532,0.079709,0.074509,3.322392,5.126055,0.382370,0.387023,4.129103,5.919767,
talendesb,858,858,0.072261,0.173737,0.222306,0.068346,3.482517,4.099576,0.470107,0.512769,5.530303,2.131702,
titanium,2241,2241,0.232039,0.069625,0.057643,0.053472,3.269076,5.200316,0.347306,0.319162,4.298081,6.329317,
usergrid,472,472,0.345339,0.273256,0.279501,0.234344,1.830508,2.731641,0.327959,0.320480,4.258475,2.847458,
