dataset,total_rows,valid_predictions,accuracy,precision,recall,f1,mae,rmse,pearson,spearman,predicted_mean,actual_mean,derived_pairwise_accuracy
appceleratorstudio,2904,2904,0.199036,0.148645,0.121532,0.073744,2.827135,4.052428,0.311089,0.309838,3.098829,5.649105,
aptanastudio,814,814,0.109337,0.119073,0.090151,0.034993,4.874693,6.942551,0.329941,0.272325,3.853808,7.964373,
bamboo,506,506,0.189723,0.158777,0.149844,0.077235,1.743083,2.429236,0.159060,0.193861,3.452569,2.361660,
clover,369,369,0.186992,0.183396,0.144621,0.106816,3.173442,6.337611,0.378498,0.389070,3.672087,4.682927,
datamanagement,4652,4652,0.059114,0.028766,0.015122,0.005399,7.299011,16.494423,0.340727,0.439538,5.461737,9.584480,
duracloud,651,651,0.093702,0.139357,0.143772,0.054746,2.043011,2.450744,0.495639,0.498067,3.806452,2.036866,
jirasoftware_filtered,269,269,0.278810,0.214507,0.173011,0.158047,2.022305,3.376058,0.268282,0.385587,3.486989,4.208178,
mesos,1665,1665,0.283483,0.183584,0.132886,0.105601,1.583183,2.364655,0.371586,0.438746,3.712913,3.079880,
moodle,1151,1151,0.111208,0.036607,0.057095,0.034488,12.004344,23.434827,0.387489,0.375353,4.156386,15.274544,
mule,874,874,0.244851,0.318901,0.159825,0.120124,2.495423,3.564220,0.317063,0.346748,3.838673,5.059497,
mulestudio,717,717,0.186890,0.129610,0.126840,0.098611,3.785216,6.196683,0.172032,0.268722,3.100418,6.355649,
springxd,3511,3511,0.224153,0.140157,0.111299,0.089880,1.953290,3.037973,0.347684,0.393182,3.958701,3.696668,
talenddataquality,1366,1366,0.155198,0.076072,0.069620,0.050394,3.571742,5.479163,0.313034,0.302956,3.367496,5.898243,
talendesb,853,853,0.148886,0.228981,0.220793,0.111213,1.950762,2.408952,0.417515,0.481316,3.892145,2.119578,
titanium,2236,2236,0.272809,0.068085,0.056251,0.046185,3.200358,5.212909,0.297719,0.263108,4.493292,6.339445,
usergrid,467,467,0.413276,0.300962,0.331887,0.283080,1.246253,1.865958,0.285175,0.283585,3.556745,2.845824,
