dataset,n,pearson,spearman
appceleratorstudio,2876,0.31150445253424625,0.362554283099087
aptanastudio,771,0.391341409913968,0.34995396490550446
bamboo,374,0.4243417098221131,0.3956629177269171
clover,361,0.5471170610614752,0.557290340820961
datamanagement,4030,0.49490327814100715,0.5134805790156102
duracloud,613,0.5317046338930301,0.5647556242396462
jirasoftware_filtered,234,0.33004485163246744,0.4235837355347468
mesos,1562,0.4277146550275623,0.45630626741851754
moodle,1166,0.44460424452021,0.37961212259920535
mule,889,0.41912134280628044,0.42065834519557027
mulestudio,732,0.18746337032764016,0.31194290250393264
springxd,3055,0.48416077144001024,0.4809265480933428
talenddataquality,1136,0.356759456750084,0.31546952841406384
talendesb,775,0.43766636833096145,0.5038205102485994
titanium,2122,0.43763918356581655,0.35814210839387417
usergrid,333,0.3003800004163482,0.2765056739116051
