dataset,n,pearson,spearman
appceleratorstudio,2876,0.27976073702936205,0.33956503597791926
aptanastudio,771,0.4005053433514087,0.34977773993970196
bamboo,374,0.35336639005738724,0.3774747471427397
clover,361,0.4850444824435708,0.5396932737491736
datamanagement,4030,0.48975642137520636,0.49892112186323184
duracloud,613,0.5593615373622642,0.579522419156624
jirasoftware_filtered,284,-0.0669684964253276,0.03916850327882285
mesos,1562,0.4463166108021136,0.4707104488282919
moodle,1166,0.4597636008997061,0.40141246836712324
mule,889,0.41131800927095163,0.4019928716904515
mulestudio,732,0.18682547279264877,0.32555981591205996
springxd,3055,0.46643616503246405,0.47967040026230406
talenddataquality,1136,0.3545314238395201,0.34393336260306484
talendesb,775,0.4635019123256882,0.49875187232367485
titanium,2122,0.38517500684052497,0.3050968289690886
usergrid,333,0.34484329167533734,0.319698341975618
