source_filename,csv_filename,total_rows,valid_predictions,accuracy,precision,recall,f1,mae,rmse,pearson,spearman,predicted_mean,actual_mean,derived_pairwise_accuracy,output_folder,master_folder
appceleratorstudio,transformed_appceleratorstudio.csv,2914,2914,0.5013726835964311,0.7537414965986394,0.30339539978094193,0.43264349863334634,0.498627316403569,0.7061354802044498,0.15262454723801153,0.15262454723801128,0.2522306108442004,0.6266300617707619,,pairwise_prediction_results/gemini/20260112_012348/appceleratorstudio,pairwise_prediction_results/gemini/20260112_012348
aptanastudio,transformed_aptanastudio.csv,828,828,0.4553140096618358,0.8181818181818182,0.2928082191780822,0.4312736443883985,0.5446859903381642,0.7380284481902878,0.14385564590404953,0.14385564590404945,0.2524154589371981,0.7053140096618358,,pairwise_prediction_results/gemini/20260112_012348/aptanastudio,pairwise_prediction_results/gemini/20260112_012348
bamboo,transformed_bamboo.csv,520,520,0.6346153846153846,0.3389830508474576,0.45112781954887216,0.3870967741935484,0.36538461538461536,0.6044705248269888,0.13701151650783336,0.1370115165078334,0.3403846153846154,0.25576923076923075,,pairwise_prediction_results/gemini/20260112_012348/bamboo,pairwise_prediction_results/gemini/20260112_012348
clover,transformed_clover.csv,384,384,0.6666666666666666,0.5490196078431373,0.4057971014492754,0.4666666666666667,0.3333333333333333,0.5773502691896257,0.23770600780855283,0.23770600780855286,0.265625,0.359375,,pairwise_prediction_results/gemini/20260112_012348/clover,pairwise_prediction_results/gemini/20260112_012348
datamanagement,transformed_datamanagement.csv,4661,4661,0.5713366230422656,0.6150895140664961,0.4079728583545377,0.49056603773584906,0.4286633769577344,0.6547238936817064,0.15519897660043075,0.1551989766004309,0.3355503110920403,0.5059000214546234,,pairwise_prediction_results/gemini/20260112_012348/datamanagement,pairwise_prediction_results/gemini/20260112_012348
duracloud,transformed_duracloud.csv,665,665,0.6962406015037594,0.30092592592592593,0.5603448275862069,0.39156626506024095,0.3037593984962406,0.5511437185492007,0.23118827898083122,0.23118827898083083,0.324812030075188,0.17443609022556392,,pairwise_prediction_results/gemini/20260112_012348/duracloud,pairwise_prediction_results/gemini/20260112_012348
jirasoftware_filtered,transformed_jirasoftware_filtered.csv,284,284,0.6373239436619719,0.6095238095238096,0.5079365079365079,0.5541125541125541,0.3626760563380282,0.6022259180224878,0.2556931720772973,0.25569317207729775,0.36971830985915494,0.44366197183098594,,pairwise_prediction_results/gemini/20260112_012348/jirasoftware_filtered,pairwise_prediction_results/gemini/20260112_012348
mesos,transformed_mesos.csv,1677,1677,0.6320810971973763,0.42474916387959866,0.4819734345351044,0.45155555555555554,0.36791890280262374,0.6065631894556607,0.17720307390398435,0.17720307390398435,0.35658914728682173,0.31425163983303517,,pairwise_prediction_results/gemini/20260112_012348/mesos,pairwise_prediction_results/gemini/20260112_012348
moodle,transformed_moodle.csv,1164,1164,0.45532646048109965,0.8150470219435737,0.31137724550898205,0.4506065857885615,0.5446735395189003,0.7380200129528334,0.13330380265944755,0.13330380265944794,0.27405498281786944,0.7173539518900344,,pairwise_prediction_results/gemini/20260112_012348/moodle,pairwise_prediction_results/gemini/20260112_012348
mule,transformed_mule.csv,889,889,0.5826771653543307,0.6715116279069767,0.4723926380368098,0.5546218487394958,0.41732283464566927,0.6460052899517691,0.1939612975044221,0.19396129750442234,0.38695163104611924,0.5500562429696289,,pairwise_prediction_results/gemini/20260112_012348/mule,pairwise_prediction_results/gemini/20260112_012348
mulestudio,transformed_mulestudio.csv,732,732,0.546448087431694,0.7104247104247104,0.41723356009070295,0.5257142857142857,0.453551912568306,0.6734626289322266,0.16324894539277127,0.1632489453927712,0.35382513661202186,0.6024590163934426,,pairwise_prediction_results/gemini/20260112_012348/mulestudio,pairwise_prediction_results/gemini/20260112_012348
springxd,transformed_springxd.csv,3520,3520,0.6164772727272727,0.49829931972789115,0.43536404160475484,0.464710547184774,0.3835227272727273,0.6192921178835779,0.1689457233011251,0.16894572330112478,0.3340909090909091,0.38238636363636364,,pairwise_prediction_results/gemini/20260112_012348/springxd,pairwise_prediction_results/gemini/20260112_012348
talenddataquality,transformed_talenddataquality.csv,1378,1378,0.5616835994194485,0.7073791348600509,0.3624511082138201,0.4793103448275862,0.43831640058055155,0.6620546809596255,0.1917076608792744,0.19170766087927452,0.28519593613933236,0.5566037735849056,,pairwise_prediction_results/gemini/20260112_012348/talenddataquality,pairwise_prediction_results/gemini/20260112_012348
talendesb,transformed_talendesb.csv,866,866,0.6362586605080831,0.2950310559006211,0.5191256830601093,0.37623762376237624,0.36374133949191684,0.6031097242558081,0.15776548327822035,0.15776548327822043,0.371824480369515,0.2113163972286374,,pairwise_prediction_results/gemini/20260112_012348/talendesb,pairwise_prediction_results/gemini/20260112_012348
titanium,transformed_titanium.csv,2250,2250,0.5008888888888889,0.732484076433121,0.3250883392226148,0.4503181595692609,0.4991111111111111,0.7064779622260776,0.13343047692599266,0.13343047692599264,0.2791111111111111,0.6288888888888889,,pairwise_prediction_results/gemini/20260112_012348/titanium,pairwise_prediction_results/gemini/20260112_012348
usergrid,transformed_usergrid.csv,482,482,0.6099585062240664,0.4144736842105263,0.3888888888888889,0.4012738853503185,0.3900414937759336,0.6245330205649127,0.11260350988577801,0.11260350988577794,0.3153526970954357,0.3360995850622407,,pairwise_prediction_results/gemini/20260112_012348/usergrid,pairwise_prediction_results/gemini/20260112_012348
