project,input_file,output_file,total_rows_original,test_rows,runs,model,temperature_setting,total_runtime_sec,avg_runtime_sec_per_request,status
appceleratorstudio,../Data/appceleratorstudio.csv,../Result/deepseek_v4_flash_prompt1_v7/appceleratorstudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv,2919,584,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,2957.3918,0.9927,completed
aptanastudio,../Data/aptanastudio.csv,../Result/deepseek_v4_flash_prompt1_v7/aptanastudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv,829,166,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,809.5302,0.9653,completed
bamboo,../Data/bamboo.csv,../Result/deepseek_v4_flash_prompt1_v7/bamboo_deepseek_v4_flash_prompt1_zeroshot_v7.csv,521,105,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,509.8261,0.9642,completed
clover,../Data/clover.csv,../Result/deepseek_v4_flash_prompt1_v7/clover_deepseek_v4_flash_prompt1_zeroshot_v7.csv,384,77,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,379.2746,0.9781,completed
datamanagement,../Data/datamanagement.csv,../Result/deepseek_v4_flash_prompt1_v7/datamanagement_deepseek_v4_flash_prompt1_zeroshot_v7.csv,4667,934,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,4383.7658,0.9212,completed
duracloud,../Data/duracloud.csv,../Result/deepseek_v4_flash_prompt1_v7/duracloud_deepseek_v4_flash_prompt1_zeroshot_v7.csv,666,134,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,602.3385,0.8918,completed
jirasoftware_filtered,../Data/jirasoftware_filtered.csv,../Result/deepseek_v4_flash_prompt1_v7/jirasoftware_filtered_deepseek_v4_flash_prompt1_zeroshot_v7.csv,284,65,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,302.0106,0.9215,completed
mesos,../Data/mesos.csv,../Result/deepseek_v4_flash_prompt1_v7/mesos_deepseek_v4_flash_prompt1_zeroshot_v7.csv,1680,336,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,1558.6793,0.9121,completed
moodle,../Data/moodle.csv,../Result/deepseek_v4_flash_prompt1_v7/moodle_deepseek_v4_flash_prompt1_zeroshot_v7.csv,1166,234,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,1064.417,0.9009,completed
mule,../Data/mule.csv,../Result/deepseek_v4_flash_prompt1_v7/mule_deepseek_v4_flash_prompt1_zeroshot_v7.csv,889,178,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,836.0449,0.9304,completed
mulestudio,../Data/mulestudio.csv,../Result/deepseek_v4_flash_prompt1_v7/mulestudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv,732,147,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,647.7007,0.8734,completed
springxd,../Data/springxd.csv,../Result/deepseek_v4_flash_prompt1_v7/springxd_deepseek_v4_flash_prompt1_zeroshot_v7.csv,3526,706,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,3135.0905,0.8697,completed
talenddataquality,../Data/talenddataquality.csv,../Result/deepseek_v4_flash_prompt1_v7/talenddataquality_deepseek_v4_flash_prompt1_zeroshot_v7.csv,1381,277,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,1212.7444,0.8621,completed
talendesb,../Data/talendesb.csv,../Result/deepseek_v4_flash_prompt1_v7/talendesb_deepseek_v4_flash_prompt1_zeroshot_v7.csv,868,174,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,752.6539,0.856,completed
titanium,../Data/titanium.csv,../Result/deepseek_v4_flash_prompt1_v7/titanium_deepseek_v4_flash_prompt1_zeroshot_v7.csv,2251,451,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,1954.435,0.848,completed
usergrid,../Data/usergrid.csv,../Result/deepseek_v4_flash_prompt1_v7/usergrid_deepseek_v4_flash_prompt1_zeroshot_v7.csv,482,97,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,408.1884,0.8352,completed
