project,input_file,output_file,pair_rows,runs,model,temperature_setting,total_runtime_sec,avg_runtime_sec_per_request,accuracy_run1,accuracy_run2,accuracy_run3,accuracy_run4,accuracy_run5,mean_accuracy,status
appceleratorstudio,../Data/pairwise/appceleratorstudio_pairwise.csv,../Result/deepseek_v4_flash_prompt3_pairwise_v7/appceleratorstudio_deepseek_v4_flash_prompt3_pairwise_v7.csv,584,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,3050.6602,1.0107,0.5993,0.589,0.601,0.5873,0.5976,0.5948,completed
aptanastudio,../Data/pairwise/aptanastudio_pairwise.csv,../Result/deepseek_v4_flash_prompt3_pairwise_v7/aptanastudio_deepseek_v4_flash_prompt3_pairwise_v7.csv,166,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,853.7216,1.0143,0.5843,0.6024,0.6446,0.6024,0.6145,0.6096,completed
bamboo,../Data/pairwise/bamboo_pairwise.csv,../Result/deepseek_v4_flash_prompt3_pairwise_v7/bamboo_deepseek_v4_flash_prompt3_pairwise_v7.csv,105,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,537.5074,1.0149,0.619,0.5714,0.581,0.6571,0.5905,0.6038,completed
clover,../Data/pairwise/clover_pairwise.csv,../Result/deepseek_v4_flash_prompt3_pairwise_v7/clover_deepseek_v4_flash_prompt3_pairwise_v7.csv,77,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,401.5312,1.0336,0.5714,0.6883,0.6623,0.6753,0.5584,0.6311,completed
datamanagement,../Data/pairwise/datamanagement_pairwise.csv,../Result/deepseek_v4_flash_prompt3_pairwise_v7/datamanagement_deepseek_v4_flash_prompt3_pairwise_v7.csv,934,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,4929.9094,1.0272,0.5418,0.5343,0.5353,0.5509,0.5203,0.5365,completed
duracloud,../Data/pairwise/duracloud_pairwise.csv,../Result/deepseek_v4_flash_prompt3_pairwise_v7/duracloud_deepseek_v4_flash_prompt3_pairwise_v7.csv,134,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,703.2539,1.04,0.597,0.6418,0.6194,0.6343,0.6418,0.6269,completed
jirasoftware_filtered,../Data/pairwise/jirasoftware_filtered_pairwise.csv,../Result/deepseek_v4_flash_prompt3_pairwise_v7/jirasoftware_filtered_deepseek_v4_flash_prompt3_pairwise_v7.csv,65,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,338.5166,1.0335,0.6154,0.7077,0.6769,0.6615,0.6,0.6523,completed
mesos,../Data/pairwise/mesos_pairwise.csv,../Result/deepseek_v4_flash_prompt3_pairwise_v7/mesos_deepseek_v4_flash_prompt3_pairwise_v7.csv,336,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,1793.1336,1.0398,0.6012,0.6101,0.619,0.6071,0.625,0.6125,completed
moodle,../Data/pairwise/moodle_pairwise.csv,../Result/deepseek_v4_flash_prompt3_pairwise_v7/moodle_deepseek_v4_flash_prompt3_pairwise_v7.csv,234,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,1191.1868,1.0056,0.5513,0.5812,0.5342,0.5513,0.5769,0.559,completed
mule,../Data/pairwise/mule_pairwise.csv,../Result/deepseek_v4_flash_prompt3_pairwise_v7/mule_deepseek_v4_flash_prompt3_pairwise_v7.csv,178,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,907.2366,1.0062,0.6798,0.6348,0.6067,0.6461,0.6461,0.6427,completed
mulestudio,../Data/pairwise/mulestudio_pairwise.csv,../Result/deepseek_v4_flash_prompt3_pairwise_v7/mulestudio_deepseek_v4_flash_prompt3_pairwise_v7.csv,147,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,732.2354,0.9851,0.5918,0.5578,0.5646,0.5646,0.5714,0.57,completed
