model,prompt,project,run,metric,value,n_total_rows,n_valid_rows,source_file
deepseek-v4-flash,prompt1_zeroshot,appceleratorstudio,1,pearson,0.33874552733017804,584,583,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/appceleratorstudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,appceleratorstudio,1,spearman,0.3772375026550568,584,583,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/appceleratorstudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,appceleratorstudio,1,mae,1.9125214408233275,584,583,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/appceleratorstudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,appceleratorstudio,1,rmse,2.667702771843638,584,583,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/appceleratorstudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,appceleratorstudio,2,pearson,0.340708481099087,584,584,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/appceleratorstudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,appceleratorstudio,2,spearman,0.3725830841823099,584,584,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/appceleratorstudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,appceleratorstudio,2,mae,1.8869863013698631,584,584,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/appceleratorstudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,appceleratorstudio,2,rmse,2.5695796788633345,584,584,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/appceleratorstudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,appceleratorstudio,3,pearson,0.32358305113623165,584,584,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/appceleratorstudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,appceleratorstudio,3,spearman,0.33810970818761577,584,584,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/appceleratorstudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,appceleratorstudio,3,mae,1.827054794520548,584,584,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/appceleratorstudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,appceleratorstudio,3,rmse,2.5174051654676664,584,584,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/appceleratorstudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,appceleratorstudio,4,pearson,0.3169175328013073,584,584,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/appceleratorstudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,appceleratorstudio,4,spearman,0.35948256100292997,584,584,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/appceleratorstudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,appceleratorstudio,4,mae,1.8921232876712328,584,584,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/appceleratorstudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,appceleratorstudio,4,rmse,2.6782354649058497,584,584,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/appceleratorstudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,appceleratorstudio,5,pearson,0.37280090118386183,584,584,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/appceleratorstudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,appceleratorstudio,5,spearman,0.3932291025087852,584,584,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/appceleratorstudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,appceleratorstudio,5,mae,1.7842465753424657,584,584,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/appceleratorstudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,appceleratorstudio,5,rmse,2.5360415708964767,584,584,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/appceleratorstudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,aptanastudio,1,pearson,0.3423145239098331,166,166,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/aptanastudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,aptanastudio,1,spearman,0.371494482089245,166,166,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/aptanastudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
