model,prompt,project,run,requests,total_runtime_sec,avg_runtime_sec_per_request,source_file
deepseek-v4-flash,prompt1_zeroshot,appceleratorstudio,1,584,578.2746999999999,0.990196404109589,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/appceleratorstudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,appceleratorstudio,2,584,599.18,1.0259931506849314,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/appceleratorstudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,appceleratorstudio,3,584,583.7522,0.9995756849315068,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/appceleratorstudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,appceleratorstudio,4,584,573.492,0.9820068493150684,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/appceleratorstudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,appceleratorstudio,5,584,564.04,0.9658219178082191,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/appceleratorstudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,aptanastudio,1,166,159.8809,0.9631379518072289,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/aptanastudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,aptanastudio,2,166,159.4938,0.9608060240963855,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/aptanastudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,aptanastudio,3,166,161.9928,0.9758602409638554,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/aptanastudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,aptanastudio,4,166,159.27669999999998,0.9594981927710842,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/aptanastudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,aptanastudio,5,166,160.54500000000002,0.9671385542168676,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/aptanastudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,bamboo,1,105,101.1855,0.9636714285714286,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/bamboo_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,bamboo,2,105,101.8974,0.9704514285714286,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/bamboo_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,bamboo,3,105,102.32690000000001,0.9745419047619048,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/bamboo_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,bamboo,4,105,100.4999,0.9571419047619047,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/bamboo_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,bamboo,5,105,100.2829,0.9550752380952381,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/bamboo_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,clover,1,77,74.3156,0.9651376623376624,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/clover_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,clover,2,77,77.91159999999999,1.0118389610389609,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/clover_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,clover,3,77,75.5495,0.9811623376623376,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/clover_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,clover,4,77,73.72769999999998,0.9575025974025972,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/clover_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,clover,5,77,75.07220000000001,0.9749636363636365,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/clover_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,datamanagement,1,934,897.0211,0.9604080299785868,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/datamanagement_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,datamanagement,2,934,860.2786,0.921069164882227,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/datamanagement_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,datamanagement,3,934,860.0245,0.9207971092077087,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/datamanagement_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,datamanagement,4,934,851.5740000000001,0.9117494646680943,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/datamanagement_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,datamanagement,5,934,833.2214,0.8921,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/datamanagement_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,duracloud,1,134,118.25370000000001,0.8824902985074627,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/duracloud_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,duracloud,2,134,118.0679,0.8811037313432836,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/duracloud_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,duracloud,3,134,120.251,0.8973955223880598,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/duracloud_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,duracloud,4,134,121.2963,0.9051962686567164,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/duracloud_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,duracloud,5,134,119.62289999999999,0.8927082089552237,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/duracloud_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,jirasoftware_filtered,1,65,58.392599999999995,0.8983476923076922,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/jirasoftware_filtered_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,jirasoftware_filtered,2,65,58.835,0.9051538461538462,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/jirasoftware_filtered_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,jirasoftware_filtered,3,65,61.9495,0.9530692307692308,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/jirasoftware_filtered_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,jirasoftware_filtered,4,65,61.04580000000001,0.939166153846154,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/jirasoftware_filtered_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,jirasoftware_filtered,5,65,59.280499999999996,0.9120076923076923,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/jirasoftware_filtered_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,mesos,1,336,320.6237,0.9542372023809523,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/mesos_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,mesos,2,336,307.82129999999995,0.9161348214285713,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/mesos_deepseek_v4_flash_prompt1_zeroshot_v7.csv
