source_filename,csv_filename,count,mae,rmse,pearson,spearman,predicted_mean,actual_mean
appceleratorstudio,appceleratorstudio.csv,2909,2.3359,3.6722,0.2723,0.3049,4.4276,5.6387
aptanastudio,aptanastudio.csv,825,4.5927,6.6397,0.322,0.2621,4.5576,8.0303
bamboo,bamboo.csv,520,2.7731,3.4895,0.2096,0.2471,4.7019,2.4212
clover,clover.csv,382,3.7565,6.1293,0.4098,0.4846,5.5995,4.6126
datamanagement,datamanagement.csv,4634,7.7849,25.7056,0.1501,0.4215,6.9912,9.5257
duracloud,duracloud.csv,666,3.3874,4.0526,0.3968,0.4729,5.2868,2.1276
jirasoftware_filtered,jirasoftware_filtered.csv,284,3.0246,4.5876,0.1882,0.3246,5.581,4.3239
mesos,mesos.csv,1676,2.96,17.6008,0.042,0.4034,5.4893,3.0853
moodle,moodle.csv,1164,11.9278,23.3007,0.3412,0.36,4.89,15.5447
mule,mule.csv,885,2.5084745762711864,3.7636381004836834,0.31982355257236295,0.4003220167331061,5.138983050847457,5.087005649717514
mulestudio,mulestudio.csv,729,3.4513031550068587,5.884811073581047,0.13900096407232448,0.26678242578476496,5.2770919067215365,6.390946502057613
springxd,springxd.csv,3514,2.4800796812749004,3.6757833232212542,0.3113945394170804,0.4119529291453895,5.020774046670461,3.6977803073420605
talenddataquality,talenddataquality.csv,1379,3.4017403915881075,5.208001318883372,0.3163042149795951,0.34946915708279247,5.245105148658448,5.927483683828862
talendesb,talendesb.csv,866,3.8775981524249423,4.706145557,0.3959831664504586,0.44952320424623077,5.946882217090069,2.161662817551963
titanium,titanium.csv,2240,3.325892857142857,5.544704681044789,0.26079000322316287,0.2980674735607226,5.120535714285714,6.301785714285714
usergrid,usergrid.csv,482,2.566390041493776,3.5320112874168217,0.2638346682842165,0.2072302841898354,5.215767634854772,2.8526970954356847
